district,language,families,reading,best_written_tier,best_written_tier_local_only,best_oral_tier,agencies_at_tier3,verified_tier3,best_provider,providers_at_tier3,written_gap,oral_gap,gap_score,severity,families_no_written_anywhere,families_no_local_written,families_no_local_document
Renton School District,Korean,28,conservative,2,2,2,6,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; Public Health Seattle and King County; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,16.8,5.6,13.4,0.479,0,0,28
Auburn School District,Burmese,27,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,16.2,5.4,13.0,0.481,0,0,27
Kent School District,Karen,13,conservative,0,0,0,0,0,City of Auburn,,13.0,13.0,13.0,1.0,13,13,13
Kent School District,Palau,13,conservative,0,0,0,0,0,City of Auburn,,13.0,13.0,13.0,1.0,13,13,13
Federal Way School District,Chinese-Cantonese,27,conservative,2,2,2,5,0,King County Library System,DSHS Basic Food (SNAP); King County Library System; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,16.2,5.4,13.0,0.481,0,0,27
Renton School District,Ilokano,13,conservative,0,0,0,0,0,City of Renton,,13.0,13.0,13.0,1.0,13,13,13
Highline School District,Tagalog,26,conservative,2,2,2,4,0,King County Metro,King County Metro; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,15.6,5.2,12.5,0.481,0,0,26
Kent School District,Ilokano,19,conservative,1,1,2,0,0,City of Kent,,16.1,3.8,12.4,0.653,0,0,19
Auburn School District,French,25,conservative,2,2,2,3,0,Public Health Seattle and King County,MultiCare Health System; Public Health Seattle and King County; Washington Healthplanfinder,15.0,5.0,12.0,0.48,0,0,25
Kent School District,Tigrinya,25,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,15.0,5.0,12.0,0.48,0,0,25
Renton School District,Cham,12,conservative,0,0,0,0,0,City of Renton,,12.0,12.0,12.0,1.0,12,12,12
Kent School District,Kurdish,18,conservative,1,1,2,0,0,City of Kent,,15.3,3.6,11.8,0.656,0,0,18
Tukwila School District,Tagalog,24,conservative,2,2,2,4,0,King County Metro,King County Metro; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,14.4,4.8,11.5,0.479,0,0,24
Tukwila School District,Lingala,17,conservative,1,1,2,0,0,Public Health Seattle and King County,,14.4,3.4,11.1,0.653,0,0,17
