agency_id,agency_name,sector,location_id,location_name,location_type,lat,lon,gtfs_location_type,capture_date,source_url
kcmetro,King County Metro,transit,kcmetro-57451,Kent Sounder Station - Bay 1,transit_center_or_park_ride,47.3850517,-122.232689,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-57452,Kent Sounder Station - Bay 2,transit_center_or_park_ride,47.3848267,-122.232704,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-57453,Kent Sounder Station - Bay 3,transit_center_or_park_ride,47.3845291,-122.232689,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-57455,Kent Sounder Station - Bay 5,transit_center_or_park_ride,47.3848038,-122.23246,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-57458,Kent Sounder Station - Bay 8,transit_center_or_park_ride,47.3838806,-122.232483,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-57459,Kent Sounder Station - Bay 9,transit_center_or_park_ride,47.3834305,-122.232483,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-57773,Auburn Transit Center - Bay 1,transit_center_or_park_ride,47.3062248,-122.232079,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-57774,Auburn Transit Center - Bay 2,transit_center_or_park_ride,47.3057899,-122.232079,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-57775,Auburn Transit Center - Bay 3,transit_center_or_park_ride,47.3054886,-122.232079,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-57776,Auburn Transit Center - Bay 4,transit_center_or_park_ride,47.3052406,-122.232086,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-57892,Auburn Park And Ride - Bay 1,transit_center_or_park_ride,47.3210411,-122.22802,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-59842,South Renton Park & Ride - Bay 1,transit_center_or_park_ride,47.47258,-122.213837,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-59881,Tukwila Station Acs & S Longacres Way - Bay 1,transit_center_or_park_ride,47.4608307,-122.240807,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-59882,Tukwila Station Acs & S Longacres Way - Bay 2,transit_center_or_park_ride,47.4603806,-122.241188,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-59904,South Renton Park & Ride - Bay 3,transit_center_or_park_ride,47.4721756,-122.212746,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-60921,Tukwila International Blvd Station - Bay 1,transit_center_or_park_ride,47.4642067,-122.288452,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-60922,Tukwila International Blvd Station - Bay 2,transit_center_or_park_ride,47.4640274,-122.287933,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-60923,Tukwila International Blvd Station - Bay 3,transit_center_or_park_ride,47.4639206,-122.287628,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-64545,Issaquah Highlands Park & Ride - Bay 1,transit_center_or_park_ride,47.5459557,-122.020042,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-64555,Issaquah Transit Center - Bay 2,transit_center_or_park_ride,47.5422783,-122.062302,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
