NAME,C16001_001E,C16001_002E,C16001_003E,C16001_004E,C16001_005E,C16001_006E,C16001_007E,C16001_008E,C16001_009E,C16001_010E,C16001_011E,C16001_012E,C16001_013E,C16001_014E,C16001_015E,C16001_016E,C16001_017E,C16001_018E,C16001_019E,C16001_020E,C16001_021E,C16001_022E,C16001_023E,C16001_024E,C16001_025E,C16001_026E,C16001_027E,C16001_028E,C16001_029E,C16001_030E,C16001_031E,C16001_032E,C16001_033E,C16001_034E,C16001_035E,C16001_036E,C16001_037E,C16001_038E,state,school district (unified)
"Lind School District, Washington",1291,752,474,271,203,0,0,0,32,24,8,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,53,04410
"Longview Public Schools, Washington",44114,39958,3059,1999,1060,106,83,23,63,63,0,46,46,0,130,111,19,41,24,17,43,43,0,126,25,101,230,124,106,244,59,185,0,0,0,68,51,17,53,04470
"Loon Lake School District, Washington",2142,2088,13,13,0,0,0,0,6,6,0,9,4,5,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,04500
"Lopez School District, Washington",3146,2934,75,53,22,16,16,0,14,14,0,45,45,0,9,6,3,0,0,0,17,0,17,0,0,0,5,5,0,8,7,1,8,8,0,15,15,0,53,04530
"Riverview School District, Washington",21405,18696,959,622,337,98,95,3,234,132,102,229,132,97,435,369,66,0,0,0,171,89,82,0,0,0,62,62,0,395,333,62,51,21,30,75,58,17,53,04560
"Lyle School District, Washington",2958,2574,347,297,50,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,53,04590
"Lynden School District, Washington",20257,17312,2226,1193,1033,0,0,0,70,46,24,0,0,0,338,245,93,0,0,0,26,10,16,8,0,8,36,36,0,28,28,0,112,112,0,101,81,20,53,04620
"Mabton School District, Washington",3407,1005,2401,1392,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,53,04650
"Mansfield School District, Washington",632,607,25,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,04710
"Manson School District, Washington",3735,2338,1346,643,703,25,7,18,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,04740
"Mary M. Knight School District, Washington",2274,2218,2,2,0,26,0,26,3,3,0,5,0,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12,12,0,53,04800
"Mary Walker School District, Washington",2939,2814,19,15,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,14,31,13,13,0,0,0,0,46,46,0,53,04830
